file,face,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
angry/aaaaaaaa_6,0,0.47108632,0.19943579,0.5457632,0.3280814,0.5381296,1.0,0.5352407,0.02813827,0.0,0.4927341,0.39844215,0.14432523,0.21752083,1.0,0.465232,0.022266516,0.9978332,0.33433476,0.060252145,0.32335827
angry/aaaaaaaa_6,0,0.47108632,0.19943579,0.5457632,0.3280814,0.5381296,1.0,0.5352407,0.02813827,0.0,0.4927341,0.39844215,0.14432523,0.21752083,1.0,0.465232,0.022266516,0.9978332,0.33433476,0.060252145,0.32335827
angry/aawkxnwq_6,0,0.36831146,0.19382793,0.23828982,0.26953608,0.075385295,0.0,0.2623377,0.003774282,1.0,0.056929406,0.35070902,0.19690171,0.4094652,0.0,0.30960536,0.20241846,0.13345972,0.07783562,0.07154979,0.12480605
angry/aawkxnwq_6,0,0.36831146,0.19382793,0.23828982,0.26953608,0.075385295,0.0,0.2623377,0.003774282,1.0,0.056929406,0.35070902,0.19690171,0.4094652,0.0,0.30960536,0.20241846,0.13345972,0.07783562,0.07154979,0.12480605
angry/advjljth_6,0,0.18393888,0.15069516,0.47568512,0.27477363,0.653131,1.0,0.63347733,0.7234173,0.0,0.73399377,0.3821674,0.42030388,0.37911323,1.0,0.3232348,0.44967926,0.9924333,0.5090427,0.020328403,0.5481897
angry/advjljth_6,0,0.18393888,0.15069516,0.47568512,0.27477363,0.653131,1.0,0.63347733,0.7234173,0.0,0.73399377,0.3821674,0.42030388,0.37911323,1.0,0.3232348,0.44967926,0.9924333,0.5090427,0.020328403,0.5481897
angry/afyyhcow_6,0,0.54337406,0.43124807,0.48146406,0.4384582,0.14440672,0.0,0.3712185,0.012466778,0.0,0.2034637,0.21985857,0.26001048,0.40389982,0.0,0.607793,0.23171762,0.6581878,0.15927245,0.57132745,0.2188958
angry/afyyhcow_6,0,0.54337406,0.43124807,0.48146406,0.4384582,0.14440672,0.0,0.3712185,0.012466778,0.0,0.2034637,0.21985857,0.26001048,0.40389982,0.0,0.607793,0.23171762,0.6581878,0.15927245,0.57132745,0.2188958
angry/amzejdso_6,0,0.4434172,0.4359243,0.6413194,0.3344378,0.29293272,0.0,0.41762567,0.096595846,0.0,0.2252989,0.2334931,0.31251857,0.3709057,1.0,0.56693196,0.28864923,0.856984,0.084100485,0.21068062,0.37584165
angry/amzejdso_6,0,0.4434172,0.4359243,0.6413194,0.3344378,0.29293272,0.0,0.41762567,0.096595846,0.0,0.2252989,0.2334931,0.31251857,0.3709057,1.0,0.56693196,0.28864923,0.856984,0.084100485,0.21068062,0.37584165
